Model Name,Params,Timesteps,Average Step Time,Average Rewards (Step),Reward Variance (Step),Average Rewards (Episode),Average Observations Per Episode,Success Rate,Result Folder,Actor Loss,Critic Loss,KL Divergence
EnTRPOTrace,"{'device': None, 'gamma': 0.95, 'lam': 0.9, 'critic_lr': 0.001, 'hidden_sizes': [64, 64], 'kl_threshold': 0.01, 'entropy_coeff': 0.01, 'trace_decay': 0.9, 'state_dim': 3, 'action_dim': 1}",0,0.0,0.0,0.0,-1226.8243321529933,200.0,1.0,results/EnTRPOTrace_20241229_155124,,,
EnTRPOTrace,"{'device': None, 'gamma': 0.95, 'lam': 0.9, 'critic_lr': 0.001, 'hidden_sizes': [64, 64], 'kl_threshold': 0.01, 'entropy_coeff': 0.001, 'trace_decay': 0.8, 'state_dim': 3, 'action_dim': 1}",0,0.0,0.0,0.0,-1411.655964121788,200.0,1.0,results/EnTRPOTrace_20241229_155345,,,
EnTRPOTrace,"{'device': None, 'gamma': 0.95, 'lam': 0.9, 'critic_lr': 0.001, 'hidden_sizes': [64, 64], 'kl_threshold': 0.01, 'entropy_coeff': 0.001, 'trace_decay': 0.9, 'state_dim': 3, 'action_dim': 1}",0,0.0,0.0,0.0,-1454.4232255054355,200.0,1.0,results/EnTRPOTrace_20241229_155618,,,
TRPO3,"{'device': None, 'gamma': 0.95, 'lam': 0.9, 'critic_lr': 0.001, 'hidden_sizes': [64, 64], 'kl_threshold': 0.01, 'state_dim': 3, 'action_dim': 1}",0,0.0,0.0,0.0,-1473.8922022043234,200.0,0.0,results/TRPO3_20241229_163940,,,
TRPO3,"{'device': None, 'gamma': 0.95, 'lam': 0.9, 'critic_lr': 0.001, 'hidden_sizes': [64, 64], 'kl_threshold': 0.005, 'state_dim': 3, 'action_dim': 1}",0,0.0,0.0,0.0,-1521.1709352340474,200.0,0.0,results/TRPO3_20241229_163954,,,
TRPO3,"{'device': None, 'gamma': 0.95, 'lam': 0.9, 'critic_lr': 0.001, 'hidden_sizes': [128, 128], 'kl_threshold': 0.01, 'state_dim': 3, 'action_dim': 1}",0,0.0,0.0,0.0,-1193.6194815415631,200.0,0.0,results/TRPO3_20241229_164011,,,
TRPO3,"{'device': None, 'gamma': 0.95, 'lam': 0.9, 'critic_lr': 0.001, 'hidden_sizes': [128, 128], 'kl_threshold': 0.005, 'state_dim': 3, 'action_dim': 1}",0,0.0,0.0,0.0,-1174.1713679668546,200.0,0.0,results/TRPO3_20241229_164027,,,
TRPO3,"{'device': None, 'gamma': 0.95, 'lam': 0.9, 'critic_lr': 0.0001, 'hidden_sizes': [64, 64], 'kl_threshold': 0.01, 'state_dim': 3, 'action_dim': 1}",0,0.0,0.0,0.0,-1164.283099540877,200.0,0.0,results/TRPO3_20241229_164041,,,
TRPO3,"{'device': None, 'gamma': 0.95, 'lam': 0.9, 'critic_lr': 0.001, 'hidden_sizes': [64, 64], 'kl_threshold': 0.01, 'state_dim': 3, 'action_dim': 1}",128000,6.291009485721588e-05,-7.529032013486164,6.433265534383364,-1505.8064026972447,200.0,0.0,results/TRPO3_20241229_165421,,,
TRPO3,"{'device': None, 'gamma': 0.95, 'lam': 0.9, 'critic_lr': 0.001, 'hidden_sizes': [64, 64], 'kl_threshold': 0.01, 'state_dim': 3, 'action_dim': 1}",1280000,6.536691039800644e-05,-6.595887556987973,10.831827733463388,-1319.177511397555,200.0,0.0,results/TRPO3_20241229_165814,,,
